gene_id,gene_name,library
ENSG00000148288.11,GBGT1,gc26
ENSG00000171102.14,OBP2B,gc26
ENSG00000119440.8,LCN1P1,gc26
ENSG00000175164.13,ABO,gc26
ENSG00000201843.1,Y_RNA,gc26
ENSG00000204031.3,LCN1P2,gc26
ENSG00000148296.6,SURF6,gc26
ENSG00000201451.1,Y_RNA,gc26
ENSG00000148297.15,MED22,gc26
ENSG00000230064.1,RP11-244N20.7,gc26
ENSG00000148303.16,RPL7A,gc26
ENSG00000206611.1,SNORD24,gc26
ENSG00000200831.1,SNORD36B,gc26
ENSG00000199744.1,SNORD36A,gc26
ENSG00000252542.1,SNORD36C,gc26
ENSG00000148290.9,SURF1,gc26
ENSG00000148291.9,SURF2,gc26
ENSG00000148248.13,SURF4,gc26
ENSG00000198870.7,STKLD1,gc26
ENSG00000148300.11,REXO4,gc26
ENSG00000160323.18,ADAMTS13,gc26
ENSG00000160325.14,CACFD1,gc26
ENSG00000160326.13,SLC2A6,gc26
ENSG00000187616.4,TMEM8C,gc26
ENSG00000197859.9,ADAMTSL2,gc26
ENSG00000196990.8,FAM163B,gc26
ENSG00000261018.1,LL09NC01-254D11.1,gc26
ENSG00000123454.10,DBH,gc26
ENSG00000225756.1,DBH-AS1,gc26
ENSG00000123453.17,SARDH,gc26
ENSG00000160293.16,VAV2,gc26
ENSG00000235106.9,LINC00094,gc26
ENSG00000169925.16,BRD3,gc26
ENSG00000235138.1,RP11-374P20.4,gc26
ENSG00000271525.1,ARF4P1,gc26
ENSG00000273249.1,LL09NC01-251B2.3,gc26
ENSG00000196363.9,WDR5,gc26
ENSG00000221676.1,RNU6ATAC,gc26
ENSG00000273473.1,LL09NC01-139C3.1,gc26
ENSG00000223729.1,RP11-145E17.2,gc26
ENSG00000279929.1,RP11-145E17.3,gc26
ENSG00000186350.9,RXRA,gc26
ENSG00000263897.1,MIR4669,gc26
ENSG00000223795.2,RP11-473E2.2,gc26
ENSG00000228877.2,RP11-473E2.4,gc26
ENSG00000227150.1,RP11-473E2.3,gc26
ENSG00000130635.15,COL5A1,gc26
ENSG00000204011.4,COL5A1-AS1,gc26
ENSG00000264744.1,MIR3689C,gc26
ENSG00000265872.1,MIR3689A,gc26
ENSG00000265848.1,MIR3689D1,gc26
ENSG00000264163.1,MIR3689B,gc26
ENSG00000264136.1,MIR3689D2,gc26
ENSG00000266827.1,MIR3689E,gc26
ENSG00000266514.1,MIR3689F,gc26
ENSG00000232355.2,RP11-263F14.3,gc26
ENSG00000160339.15,FCN2,gc26
ENSG00000085265.10,FCN1,gc26
ENSG00000236403.1,RP11-447M12.2,gc26
ENSG00000279935.1,RP11-447M12.3,gc26
ENSG00000130558.19,OLFM1,gc26
ENSG00000227958.1,RP11-399H11.3,gc26
ENSG00000233936.1,RP11-399H11.2,gc26
ENSG00000178243.4,C9orf62,gc26
ENSG00000235572.1,RP11-555H7.2,gc26
ENSG00000224682.1,SOCS5P2,gc26
ENSG00000225361.3,PPP1R26-AS1,gc26
ENSG00000196422.10,PPP1R26,gc26
ENSG00000160345.12,C9orf116,gc26
ENSG00000122140.10,MRPS2,gc26
ENSG00000226706.1,RP11-426A6.5,gc26
ENSG00000160349.9,LCN1,gc26
ENSG00000122136.13,OBP2A,gc26
ENSG00000122133.16,PAEP,gc26
ENSG00000237339.5,LINC01502,gc26
ENSG00000224045.1,RP11-98L5.4,gc26
ENSG00000236543.2,RP11-98L5.5,gc26
ENSG00000204007.6,GLT6D1,gc26
ENSG00000148386.9,LCN9,gc26
ENSG00000165643.10,SOHLH1,gc26
ENSG00000107147.12,KCNT1,gc26
ENSG00000130559.18,CAMSAP1,gc26
ENSG00000238058.1,RP11-432J22.2,gc26
ENSG00000130560.8,UBAC1,gc26
ENSG00000148411.7,NACC2,gc26
ENSG00000260193.1,RP11-83N9.5,gc26
ENSG00000238227.7,C9orf69,gc26
ENSG00000275329.1,RP11-83N9.6,gc26
ENSG00000107187.15,LHX3,gc26
ENSG00000165661.16,QSOX2,gc26
ENSG00000260220.6,CCDC187,gc26
ENSG00000279813.1,WI2-1959D15.4,gc26
ENSG00000283769.1,WI2-1959D15.3,gc26
ENSG00000262075.3,DKFZP434A062,gc26
ENSG00000160360.12,GPSM1,gc26
ENSG00000213221.4,DNLZ,gc26
ENSG00000187796.13,CARD9,gc26
ENSG00000165684.4,SNAPC4,gc26
ENSG00000165689.16,SDCCAG3,gc26
ENSG00000165688.11,PMPCA,gc26
ENSG00000148384.12,INPP5E,gc26
ENSG00000148396.18,SEC16A,gc26
ENSG00000196366.3,C9orf163,gc26
ENSG00000148400.9,NOTCH1,gc26
ENSG00000263403.1,MIR4673,gc26
ENSG00000227512.1,RP11-413M3.4,gc26
ENSG00000265181.1,MIR4674,gc26
ENSG00000237886.1,NALT1,gc26
ENSG00000279141.3,LINC01451,gc26
ENSG00000228401.4,HSPC324,gc26
ENSG00000172889.15,EGFL7,gc26
ENSG00000199161.1,MIR126,gc26
ENSG00000169692.12,AGPAT2,gc26
ENSG00000165716.10,FAM69B,gc26
ENSG00000233016.6,SNHG7,gc26
ENSG00000280496.1,SNORA17B,gc26
ENSG00000276161.1,SNORA17B,gc26
ENSG00000274998.1,SNORA17A,gc26
ENSG00000281808.1,SNORA17,gc26
ENSG00000274356.1,RP11-216L13.21,gc26
ENSG00000187922.13,LCN10,gc26
ENSG00000204003.8,RP11-216L13.16,gc26
ENSG00000267206.5,LCN6,gc26
ENSG00000278756.1,MIR6722,gc26
ENSG00000204001.9,LCN8,gc26
ENSG00000177984.6,LCN15,gc26
ENSG00000224662.2,ATP6V1G1P3,gc26
ENSG00000244187.7,TMEM141,gc26
ENSG00000272896.1,RP11-216L13.17,gc26
ENSG00000213213.13,CCDC183,gc26
ENSG00000273066.5,RP11-216L13.19,gc26
ENSG00000272679.1,RP11-216L13.18,gc26
ENSG00000228544.1,CCDC183-AS1,gc26
ENSG00000196642.18,RABL6,gc26
ENSG00000213212.3,NCLP1,gc26
ENSG00000265806.1,MIR4292,gc26
ENSG00000232434.2,C9orf172,gc26
ENSG00000054148.17,PHPT1,gc26
ENSG00000177943.13,MAMDC4,gc26
ENSG00000107223.12,EDF1,gc26
ENSG00000127191.17,TRAF2,gc26
ENSG00000266507.1,MIR4479,gc26
ENSG00000213590.2,RP11-229P13.2,gc26
ENSG00000260190.1,RP11-229P13.25,gc26
ENSG00000159069.13,FBXW5,gc26
ENSG00000176919.11,C8G,gc26
ENSG00000184925.11,LCN12,gc26
ENSG00000198454.2,PRR31,gc26
ENSG00000107317.12,PTGDS,gc26
ENSG00000284341.1,RP11-229P13.28,gc26
ENSG00000214402.6,LCNL1,gc26
ENSG00000148362.10,C9orf142,gc26
ENSG00000169583.12,CLIC3,gc26
ENSG00000107331.16,ABCA2,gc26
ENSG00000180539.7,C9orf139,gc26
ENSG00000180549.7,FUT7,gc26
ENSG00000279073.3,RP11-229P13.27,gc26
ENSG00000107281.9,NPDC1,gc26
ENSG00000054179.11,ENTPD2,gc26
ENSG00000236394.2,RP11-229P13.15,gc26
ENSG00000229257.2,RP11-229P13.22,gc26
ENSG00000186193.8,SAPCD2,gc26
ENSG00000231864.2,RP11-229P13.23,gc26
ENSG00000197355.10,UAP1L1,gc26
ENSG00000268996.3,MAN1B1-AS1,gc26
ENSG00000177239.14,MAN1B1,gc26
ENSG00000199411.1,SNORD62,gc26
ENSG00000176978.13,DPP7,gc26
ENSG00000176884.14,GRIN1,gc26
ENSG00000184709.7,LRRC26,gc26
ENSG00000261793.1,RP11-350O14.18,gc26
ENSG00000263697.1,MIR3621,gc26
ENSG00000185863.7,TMEM210,gc26
ENSG00000176248.8,ANAPC2,gc26
ENSG00000176101.11,SSNA1,gc26
ENSG00000176058.11,TPRN,gc26
ENSG00000187713.6,TMEM203,gc26
ENSG00000188566.13,NDOR1,gc26
ENSG00000212864.3,RNF208,gc26
ENSG00000197191.4,CYSRT1,gc26
ENSG00000233198.3,RNF224,gc26
ENSG00000198569.9,SLC34A3,gc26
ENSG00000188229.5,TUBB4B,gc26
ENSG00000188163.7,FAM166A,gc26
ENSG00000275549.1,STPG3-AS1,gc26
ENSG00000197768.10,STPG3,gc26
ENSG00000188986.6,NELFB,gc26
ENSG00000198113.2,TOR4A,gc26
ENSG00000270259.2,RP13-122B23.9,gc26
ENSG00000260996.1,RP13-122B23.8,gc26
ENSG00000198435.3,NRARP,gc26
ENSG00000187609.15,EXD3,gc26
ENSG00000188747.8,NOXA1,gc26
ENSG00000188833.9,ENTPD8,gc26
ENSG00000165802.21,NSMF,gc26
ENSG00000284317.1,MIR7114,gc26
ENSG00000130653.15,PNPLA7,gc26
ENSG00000182154.7,MRPL41,gc26
ENSG00000148399.12,DPH7,gc26
ENSG00000165724.5,ZMYND19,gc26
ENSG00000197070.13,ARRDC1,gc26
ENSG00000283411.1,RP11-48C7.8,gc26
ENSG00000203993.4,ARRDC1-AS1,gc26
ENSG00000181090.19,EHMT1,gc26
ENSG00000274841.1,Metazoa_SRP,gc26
ENSG00000233998.1,SETP5,gc26
ENSG00000255585.3,RP11-188C12.2,gc26
ENSG00000207693.1,MIR602,gc26
ENSG00000203987.2,RP11-188C12.3,gc26
ENSG00000148408.12,CACNA1B,gc26
ENSG00000276388.1,RP11-424E7.5,gc26
ENSG00000229926.1,RP11-424E7.3,gc26
ENSG00000159247.13,TUBBP5,gc26
ENSG00000278130.1,RP11-424E7.6,gc26
ENSG00000237419.1,RP11-885N19.6,gc26
ENSG00000233013.9,FAM157B,gc26
ENSG00000223256.1,RNU6-785P,gc26
ENSG00000250210.5,SEPT14P9,gc26
ENSG00000260370.1,RP11-631M21.1,gc26
ENSG00000237297.1,FAM166AP7,gc26
ENSG00000261456.5,TUBB8,gc26
ENSG00000232420.2,IL9RP2,gc26
ENSG00000015171.19,ZMYND11,gc26
ENSG00000276662.1,RP11-631M21.7,gc26
ENSG00000212331.1,RNA5SP297,gc26
ENSG00000151240.16,DIP2C,gc26
ENSG00000201861.1,RNA5SP298,gc26
ENSG00000239822.3,RN7SL754P,gc26
ENSG00000233021.2,RP11-490E15.2,gc26
ENSG00000225140.1,RP11-809C18.3,gc26
ENSG00000263511.1,MIR5699,gc26
ENSG00000180525.11,PRR26,gc26
ENSG00000231601.1,RP11-164C1.2,gc26
ENSG00000107929.14,LARP4B,gc26
ENSG00000229869.1,RP11-363N22.2,gc26
ENSG00000205740.2,RP11-363N22.3,gc26
ENSG00000107937.18,GTPBP4,gc26
ENSG00000148377.5,IDI2,gc26
ENSG00000232656.7,IDI2-AS1,gc26
ENSG00000067064.10,IDI1,gc26
ENSG00000047056.14,WDR37,gc26
ENSG00000229205.2,LINC00200,gc26
ENSG00000185736.15,ADARB2,gc26
ENSG00000282390.1,RP11-29A19.2,gc26
ENSG00000233052.1,RP11-398B16.2,gc26
ENSG00000205696.4,ADARB2-AS1,gc26
ENSG00000234962.5,LINC00700,gc26
ENSG00000226694.2,RP11-69C17.2,gc26
ENSG00000278069.1,MIR6072,gc26
ENSG00000252998.1,RNU6-889P,gc26
ENSG00000227912.1,RP11-69C17.3,gc26
ENSG00000231326.6,RP11-69C17.4,gc26
ENSG00000212156.1,RNU6-576P,gc26
ENSG00000234556.1,LINC00701,gc26
ENSG00000234170.5,RP11-446F3.2,gc26
ENSG00000237500.1,RP11-526P5.1,gc26
ENSG00000235281.1,RP11-526P5.2,gc26
ENSG00000231743.1,RP11-89K18.1,gc26
ENSG00000234182.1,RP11-118K6.2,gc26
ENSG00000273001.1,RP11-118K6.3,gc26
ENSG00000067057.16,PFKP,gc26
ENSG00000278419.1,RP11-298E9.7,gc26
ENSG00000107959.15,PITRM1,gc26
ENSG00000237399.7,PITRM1-AS1,gc26
ENSG00000236968.1,RP11-298E9.5,gc26
ENSG00000226762.1,RP11-298E9.6,gc26
ENSG00000227338.1,RP11-195B3.1,gc26
ENSG00000233321.1,RP11-482E14.1,gc26
ENSG00000236892.1,RP11-482E14.2,gc26
ENSG00000229672.2,RP11-184A2.3,gc26
ENSG00000228353.1,RP11-184A2.2,gc26
ENSG00000067082.14,KLF6,gc26
ENSG00000230573.1,RP11-464C19.2,gc26
ENSG00000226005.3,RP11-464C19.3,gc26
ENSG00000274809.1,MIR6078,gc26
ENSG00000227101.1,RP11-433J20.2,gc26
ENSG00000236990.1,RP11-433J20.1,gc26
ENSG00000233117.2,LINC00702,gc26
ENSG00000224382.1,LINC00703,gc26
ENSG00000230096.1,RP11-34C15.2,gc26
ENSG00000207124.1,RNU6-163P,gc26
ENSG00000231298.6,LINC00704,gc26
ENSG00000225269.2,LINC00705,gc26
ENSG00000165568.17,AKR1E2,gc26
ENSG00000151631.8,AKR1C6P,gc26
ENSG00000238840.1,U8,gc26
ENSG00000187134.13,AKR1C1,gc26
ENSG00000151632.17,AKR1C2,gc26
ENSG00000224251.6,RP11-499O7.7,gc26
ENSG00000239148.1,U8,gc26
ENSG00000196139.13,AKR1C3,gc26
ENSG00000239142.1,U8,gc26
ENSG00000225418.1,AKR1C5P,gc26
ENSG00000264006.6,AKR1C8P,gc26
ENSG00000198610.10,AKR1C4,gc26
ENSG00000228291.1,ARL4AP3,gc26
ENSG00000231039.2,RP11-445P17.3,gc26
ENSG00000224034.1,RP11-445P17.8,gc26
ENSG00000215267.8,AKR1C7P,gc26
ENSG00000223987.1,RPL26P28,gc26
ENSG00000280450.1,XXyac-YR21CG7.1,gc26
ENSG00000178473.6,UCN3,gc26
ENSG00000178462.11,TUBAL3,gc26
ENSG00000173848.18,NET1,gc26
ENSG00000178372.7,CALML5,gc26
ENSG00000205488.8,CALML3-AS1,gc26
ENSG00000178363.4,CALML3,gc26
ENSG00000256462.1,RP11-116G8.5,gc26
ENSG00000242147.1,RP13-463N16.6,gc26
ENSG00000231483.1,RP11-336A10.5,gc26
ENSG00000228951.1,RP11-336A10.4,gc26
ENSG00000228685.1,RP11-336A10.7,gc26
ENSG00000240577.3,RN7SL445P,gc26
ENSG00000196372.12,ASB13,gc26
ENSG00000108021.19,FAM208B,gc26
ENSG00000226647.2,RP11-336A10.2,gc26
ENSG00000057608.16,GDI2,gc26
ENSG00000270427.1,NRBF2P5,gc26
ENSG00000272764.1,RP11-318E3.9,gc26
ENSG00000134461.15,ANKRD16,gc26
ENSG00000240180.1,RPL12P28,gc26
ENSG00000134452.19,FBXO18,gc26
ENSG00000232807.2,RP11-536K7.3,gc26
ENSG00000134470.20,IL15RA,gc26
ENSG00000134460.15,IL2RA,gc26
ENSG00000251922.1,SNORA14,gc26
ENSG00000229664.1,RP11-536K7.5,gc26
ENSG00000214015.3,RPL32P23,gc26
ENSG00000134453.15,RBM17,gc26
ENSG00000170525.19,PFKFB3,gc26
ENSG00000201581.1,RN7SKP78,gc26
ENSG00000263628.1,MIR3155A,gc26
ENSG00000283634.1,MIR3155B,gc26
ENSG00000213994.3,RP11-414H17.5,gc26
ENSG00000238366.1,Y_RNA,gc26
ENSG00000215244.2,RP11-563J2.2,gc26
ENSG00000226705.1,SDCBPP1,gc26
ENSG00000212743.2,RP11-563J2.3,gc26
ENSG00000065675.14,PRKCQ,gc26
ENSG00000237943.6,PRKCQ-AS1,gc26
ENSG00000225948.2,RP11-554I8.1,gc26
ENSG00000223784.1,LINP1,gc26
ENSG00000281186.1,LINC00706,gc26
ENSG00000238266.1,LINC00707,gc26
ENSG00000234248.1,RP11-799O21.2,gc26
ENSG00000223581.1,RP11-393K12.2,gc26
ENSG00000270811.1,RP11-393K12.4,gc26
ENSG00000198879.11,SFMBT2,gc26
ENSG00000235141.1,COX6CP17,gc26
ENSG00000278982.1,RP5-1031D4.3,gc26
ENSG00000232591.1,RP5-1031D4.2,gc26
ENSG00000207453.1,RNU6-535P,gc26
ENSG00000230121.1,RP11-385N23.1,gc26
ENSG00000123243.14,ITIH5,gc26
ENSG00000151655.18,ITIH2,gc26
ENSG00000151657.11,KIN,gc26
ENSG00000165629.19,ATP5C1,gc26
ENSG00000165632.7,TAF3,gc26
ENSG00000233990.1,RP11-401E9.3,gc26
ENSG00000197308.9,GATA3-AS1,gc26
ENSG00000232638.1,RP11-379F12.4,gc26
ENSG00000107485.15,GATA3,gc26
ENSG00000225053.1,PRPF38AP1,gc26
ENSG00000232170.5,LINC00708,gc26
ENSG00000226861.1,RP5-1119O21.2,gc26
ENSG00000226990.1,RP11-543F8.2,gc26
ENSG00000271251.1,RP11-543F8.3,gc26
ENSG00000213771.3,KRT8P37,gc26
ENSG00000236420.1,CHCHD3P1,gc26
ENSG00000212505.1,RNA5SP299,gc26
ENSG00000270234.1,RP11-575N15.1,gc26
ENSG00000234752.1,RP11-428L9.1,gc26
ENSG00000223808.1,RP11-428L9.2,gc26
ENSG00000230014.1,LINC00709,gc26
ENSG00000235838.1,HSP90AB7P,gc26
ENSG00000228636.1,RP5-1051H14.2,gc26
ENSG00000224788.1,RP5-933E2.1,gc26
ENSG00000229919.3,ELOCP3,gc26
ENSG00000200849.1,Y_RNA,gc26
ENSG00000272436.1,CUX2P1,gc26
ENSG00000234306.1,RP11-271F18.1,gc26
ENSG00000279575.1,RP11-271F18.3,gc26
ENSG00000270111.2,RP11-271F18.4,gc26
ENSG00000228997.1,RP1-186E20.1,gc26
ENSG00000225383.7,SFTA1P,gc26
ENSG00000048740.18,CELF2,gc26
ENSG00000229240.8,LINC00710,gc26
ENSG00000231496.1,RP1-251M9.2,gc26
ENSG00000228027.1,RP1-251M9.3,gc26
ENSG00000229206.3,RP11-397O4.1,gc26
ENSG00000237986.3,CELF2-AS2,gc26
ENSG00000230322.1,RP3-323N1.2,gc26
ENSG00000181800.5,CELF2-AS1,gc26
ENSG00000280086.1,RP11-544P1.3,gc26
ENSG00000148429.14,USP6NL,gc26
ENSG00000271360.1,RP11-138I18.1,gc26
ENSG00000271046.1,RP11-138I18.2,gc26
ENSG00000134463.14,ECHDC3,gc26
ENSG00000148426.12,PROSER2,gc26
ENSG00000225778.5,PROSER2-AS1,gc26
ENSG00000151461.19,UPF2,gc26
ENSG00000251957.1,RNU6-1095P,gc26
ENSG00000181192.11,DHTKD1,gc26
ENSG00000272507.1,RNU6-88P,gc26
ENSG00000065665.20,SEC61A2,gc26
ENSG00000265653.1,MIR548AK,gc26
ENSG00000165609.12,NUDT5,gc26
ENSG00000151465.13,CDC123,gc26
ENSG00000228302.2,RP11-186N15.3,gc26
ENSG00000264036.2,RN7SL198P,gc26
ENSG00000183049.12,CAMK1D,gc26
ENSG00000252438.1,SNORD45,gc26
ENSG00000252118.1,RNU6ATAC39P,gc26
ENSG00000263584.1,MIR4480,gc26
ENSG00000283699.1,MIR4481,gc26
ENSG00000221331.1,MIR548Q,gc26
ENSG00000151468.10,CCDC3,gc26
ENSG00000212499.1,RNA5SP300,gc26
ENSG00000225251.1,RPL5P25,gc26
ENSG00000123240.16,OPTN,gc26
ENSG00000235763.1,SNRPGP5,gc26
ENSG00000234175.1,RP11-730A19.9,gc26
ENSG00000228330.1,RP11-730A19.5,gc26
ENSG00000203414.2,BTBD7P1,gc26
ENSG00000237540.1,RPL36AP36,gc26
ENSG00000065328.16,MCM10,gc26
ENSG00000272055.1,RNU6-6P,gc26
ENSG00000165623.9,UCMA,gc26
ENSG00000107537.13,PHYH,gc26
ENSG00000226209.1,C8orf59P1,gc26
ENSG00000086475.14,SEPHS1,gc26
ENSG00000233256.1,RP11-445K13.2,gc26
ENSG00000165626.16,BEND7,gc26
ENSG00000202508.1,Y_RNA,gc26
ENSG00000227175.1,RP11-214D15.2,gc26
ENSG00000165630.13,PRPF18,gc26
ENSG00000227474.1,RPL6P24,gc26
ENSG00000282246.1,RP11-295P9.13,gc26
ENSG00000239665.8,RP11-295P9.3,gc26
ENSG00000151474.21,FRMD4A,gc26
ENSG00000273474.1,RP11-295P9.12,gc26
ENSG00000225112.1,RP11-295P9.6,gc26
ENSG00000199407.1,RNA5SP301,gc26
ENSG00000234091.1,RP11-353M9.1,gc26
ENSG00000215227.4,NUTF2P5,gc26
ENSG00000229751.1,RP11-142M10.2,gc26
ENSG00000235410.1,RP11-397C18.2,gc26
ENSG00000266321.1,MIR4293,gc26
ENSG00000278100.1,Metazoa_SRP,gc26
ENSG00000221371.1,MIR1265,gc26
ENSG00000065809.13,FAM107B,gc26
ENSG00000236495.1,RP11-7C6.1,gc26
ENSG00000201766.1,RNA5SP302,gc26
ENSG00000237032.1,RPSAP7,gc26
ENSG00000185267.9,CDNF,gc26
ENSG00000187522.14,HSPA14,gc26
ENSG00000284024.1,RP11-398C13.8,gc26
ENSG00000272853.1,RP11-398C13.6,gc26
ENSG00000152455.15,SUV39H2,gc26
ENSG00000152457.17,DCLRE1C,gc26
ENSG00000197889.9,MEIG1,gc26
ENSG00000235623.2,OR7E110P,gc26
ENSG00000228547.5,OR7E26P,gc26
ENSG00000182531.7,OR7E115P,gc26
ENSG00000237470.3,DCLRE1CP1,gc26
ENSG00000152463.14,OLAH,gc26
ENSG00000176244.6,ACBD7,gc26
ENSG00000228312.1,GAPDHP45,gc26
ENSG00000176236.6,C10orf111,gc26
ENSG00000152464.14,RPP38,gc26
ENSG00000152465.17,NMT2,gc26
ENSG00000206448.3,PPIAP30,gc26
ENSG00000228181.1,RP11-455B2.9,gc26
ENSG00000148468.16,FAM171A1,gc26
ENSG00000232739.1,RP11-25G10.2,gc26
ENSG00000077943.7,ITGA8,gc26
ENSG00000148481.13,MINDY3,gc26
ENSG00000252537.1,SNORA31,gc26
ENSG00000237913.1,FTLP19,gc26
ENSG00000201260.1,RNU6-1075P,gc26
ENSG00000226140.5,RP11-461K13.1,gc26
ENSG00000165983.14,PTER,gc26
ENSG00000223156.1,RNU2-18P,gc26
ENSG00000165985.9,C1QL3,gc26
ENSG00000148484.17,RSU1,gc26
ENSG00000225213.2,RP11-197M22.2,gc26
ENSG00000275001.1,uc_338,gc26
ENSG00000107611.14,CUBN,gc26
ENSG00000273153.1,RP11-406H21.2,gc26
ENSG00000107614.21,TRDMT1,gc26
ENSG00000229124.6,VIM-AS1,gc26
ENSG00000026025.15,VIM,gc26
ENSG00000234961.1,RP11-124N14.3,gc26
ENSG00000148488.15,ST8SIA6,gc26
ENSG00000204832.9,ST8SIA6-AS1,gc26
ENSG00000251803.1,Y_RNA,gc26
ENSG00000236582.1,PRPF38AP2,gc26
ENSG00000165996.13,HACD1,gc26
ENSG00000280126.2,AC069542.1,gc26
ENSG00000260589.1,STAM-AS1,gc26
ENSG00000136738.14,STAM,gc26
ENSG00000229190.1,RP11-390B4.3,gc26
ENSG00000148483.8,TMEM236,gc26
ENSG00000260314.2,MRC1,gc26
ENSG00000207938.1,MIR511,gc26
ENSG00000235637.1,RP11-457D2.3,gc26
ENSG00000148482.11,SLC39A12,gc26
ENSG00000226083.5,SLC39A12-AS1,gc26
ENSG00000165995.18,CACNB2,gc26
ENSG00000235020.4,RP11-109I13.2,gc26
ENSG00000240291.1,RP11-499P20.2,gc26
ENSG00000225527.1,RP11-383B4.4,gc26
ENSG00000241058.3,NSUN6,gc26
ENSG00000165997.4,ARL5B,gc26
ENSG00000225509.1,AIFM1P1,gc26
ENSG00000234244.1,RP11-139J15.5,gc26
ENSG00000234813.1,RP11-288D15.1,gc26
ENSG00000204740.10,MALRD1,gc26
ENSG00000226255.1,UBE2V2P1,gc26
ENSG00000227734.1,RP11-49L2.1,gc26
ENSG00000239539.1,HMGN1P20,gc26
ENSG00000236960.1,RP11-265G8.3,gc26
ENSG00000200545.2,U3,gc26
ENSG00000252001.1,RNA5SP303,gc26
ENSG00000233968.6,RP11-354E11.2,gc26
ENSG00000283456.1,MTND1P37,gc26
ENSG00000230818.1,MTND2P16,gc26
ENSG00000252832.1,RNU6-1212P,gc26
ENSG00000120594.16,PLXDC2,gc26
ENSG00000238246.1,RP11-575A19.2,gc26
ENSG00000228339.1,AMD1P1,gc26
ENSG00000270727.1,RP11-51E20.1,gc26
ENSG00000265372.1,MIR4675,gc26
ENSG00000078114.18,NEBL,gc26
ENSG00000235940.1,MTND1P21,gc26
ENSG00000230112.1,RP11-56H7.2,gc26
ENSG00000228753.1,EIF4BP2,gc26
ENSG00000228219.1,NPM1P30,gc26
ENSG00000204683.10,C10orf113,gc26
ENSG00000231920.1,NEBL-AS1,gc26
ENSG00000228860.1,RP11-565H13.3,gc26
ENSG00000232853.1,LUZP4P1,gc26
ENSG00000207264.1,RNU6-15P,gc26
ENSG00000230109.1,RP11-275N1.1,gc26
ENSG00000231553.1,RNMTL1P1,gc26
ENSG00000278650.1,RP11-275N1.3,gc26
ENSG00000273566.1,Metazoa_SRP,gc26
ENSG00000199222.1,Y_RNA,gc26
ENSG00000204682.5,CASC10,gc26
ENSG00000222071.1,MIR1915,gc26
ENSG00000180592.16,SKIDA1,gc26
ENSG00000078403.16,MLLT10,gc26
ENSG00000207347.1,RNU6-306P,gc26
ENSG00000223984.1,HNRNPRP1,gc26
ENSG00000201390.1,RNU6-1141P,gc26
ENSG00000136770.10,DNAJC1,gc26
ENSG00000252634.1,RN7SKP219,gc26
ENSG00000279623.1,RP11-399C16.3,gc26
ENSG00000201364.1,RN7SKP37,gc26
ENSG00000232497.1,ADIPOR1P1,gc26
ENSG00000236777.1,RP11-108B14.1,gc26
ENSG00000223601.2,EBLN1,gc26
ENSG00000260205.1,RP11-108B14.5,gc26
ENSG00000227462.1,PSME2P6,gc26
ENSG00000279631.1,RP11-573G6.4,gc26
ENSG00000261671.1,RP11-573G6.6,gc26
ENSG00000233318.2,RPL31P45,gc26
ENSG00000148444.15,COMMD3,gc26
ENSG00000269897.5,COMMD3-BMI1,gc26
ENSG00000168283.13,BMI1,gc26
ENSG00000272516.1,RP11-573G6.9,gc26
ENSG00000271981.1,RP11-573G6.8,gc26
ENSG00000272366.1,RP11-573G6.10,gc26
ENSG00000077327.15,SPAG6,gc26
ENSG00000233451.1,RP11-301N24.3,gc26
ENSG00000150867.13,PIP4K2A,gc26
ENSG00000279819.1,RP11-142L16.2,gc26
ENSG00000206842.1,RNU6-413P,gc26
ENSG00000165309.13,ARMC3,gc26
ENSG00000223131.1,RNA5SP304,gc26
ENSG00000148450.12,MSRB2,gc26
ENSG00000229932.3,YWHAZP3,gc26
ENSG00000252049.1,SNORA40,gc26
ENSG00000168267.6,PTF1A,gc26
ENSG00000179133.12,C10orf67,gc26
ENSG00000227537.1,RP11-215C7.3,gc26
ENSG00000224215.1,RP11-371A19.2,gc26
ENSG00000264574.1,MIR1254-2,gc26
ENSG00000165312.6,OTUD1,gc26
ENSG00000120549.17,KIAA1217,gc26
ENSG00000223928.1,NUP35P1,gc26
ENSG00000277563.1,AC063961.1,gc26
ENSG00000207930.1,MIR603,gc26
ENSG00000279029.1,RP11-144I2.1,gc26
ENSG00000107863.17,ARHGAP21,gc26
ENSG00000199535.1,RNA5SP305,gc26
ENSG00000099256.18,PRTFDC1,gc26
ENSG00000228667.1,RP11-129O7.2,gc26
ENSG00000240294.2,RN7SKP241,gc26
ENSG00000273107.1,RP11-165A20.3,gc26
ENSG00000151023.16,ENKUR,gc26
ENSG00000185875.12,THNSL1,gc26
ENSG00000231422.2,LINC01516,gc26
ENSG00000233642.1,GPR158-AS1,gc26
ENSG00000151025.9,GPR158,gc26
ENSG00000274242.1,RP11-20I6.1,gc26
ENSG00000222543.1,RN7SKP220,gc26
ENSG00000227465.1,GPN3P1,gc26
ENSG00000280809.2,LINC00836,gc26
ENSG00000271563.1,HIRAP1,gc26
ENSG00000223019.1,RNA5SP306,gc26
ENSG00000251711.1,RNU6-632P,gc26
ENSG00000226304.1,RP11-435M3.2,gc26
ENSG00000095777.14,MYO3A,gc26
ENSG00000136750.11,GAD2,gc26
ENSG00000077420.15,APBB1IP,gc26
ENSG00000199733.1,RNA5SP307,gc26
ENSG00000236894.3,RP11-128B16.5,gc26
